folder,filename,lpips,gt_path,sr_path
agricultural,agricultural36.png,0.44711944460868835,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural36.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural36_SwinIR.png
agricultural,agricultural37.png,0.36660975217819214,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural37.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural37_SwinIR.png
agricultural,agricultural38.png,0.3906260132789612,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural38.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural38_SwinIR.png
agricultural,agricultural39.png,0.5270029902458191,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural39.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural39_SwinIR.png
agricultural,agricultural40.png,0.5274415016174316,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural40.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural40_SwinIR.png
agricultural,agricultural41.png,0.3645707964897156,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural41.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural41_SwinIR.png
agricultural,agricultural42.png,0.33585479855537415,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural42.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural42_SwinIR.png
agricultural,agricultural43.png,0.3975064158439636,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural43.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural43_SwinIR.png
agricultural,agricultural44.png,0.4361395835876465,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural44.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural44_SwinIR.png
agricultural,agricultural45.png,0.4449538588523865,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural45.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural45_SwinIR.png
agricultural,agricultural46.png,0.3090696930885315,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural46.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural46_SwinIR.png
agricultural,agricultural47.png,0.3231924772262573,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural47.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural47_SwinIR.png
agricultural,agricultural48.png,0.37781989574432373,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural48.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural48_SwinIR.png
agricultural,agricultural49.png,0.43107348680496216,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural49.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural49_SwinIR.png
agricultural,agricultural50.png,0.33563169836997986,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural50.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural50_SwinIR.png
agricultural,agricultural51.png,0.37187460064888,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural51.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural51_SwinIR.png
agricultural,agricultural52.png,0.28776586055755615,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural52.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural52_SwinIR.png
